"raws","Date","FirstWinner","FirstWinnerLast2Digits","FirstWinnerLast3Digits","2DigitsWinner","3DigitsWinner(1A)","3DigitsWinner(2A)","3DigitsWinner(1B)","3DigitsWinner(2B)"
"16/06/25675185040450431016428426447","16/06/2567","518504","04","504","31","016","428","426","447"
"01/06/25675305939359342194364421734","01/06/2567","530593","93","593","42","194","364","421","734"
"16/05/25672056909069060747885070137","16/05/2567","205690","90","690","60","747","885","070","137"
"02/05/25679801161611617104763634833","02/05/2567","980116","16","116","17","104","763","634","833"
"16/04/25679435989859879727729154200","16/04/2567","943598","98","598","79","727","729","154","200"
"01/04/25678034818148190122809559947","01/04/2567","803481","81","481","90","122","809","559","947"
"16/03/25679976262662678509571329794","16/03/2567","997626","26","626","78","509","571","329","794"
"01/03/25672536030360379900975382703","01/03/2567","253603","03","603","79","900","975","382","703"
"16/02/25679413959539543056330375587","16/02/2567","941395","95","395","43","056","330","375","587"
"01/02/25676070636306309454943544591","01/02/2567","607063","63","063","09","454","943","544","591"
"17/01/25671059797997961429931196635","17/01/2567","105979","79","979","61","429","931","196","635"
"30/12/25666255444454489600648456882","30/12/2566","625544","44","544","89","600","648","456","882"
"16/12/25663567575775785058410584964","16/12/2566","356757","57","757","85","058","410","584","964"
"01/12/25662510979709791055265092280","01/12/2566","251097","97","097","91","055","265","092","280"
"16/11/25665579909099014346412778961","16/11/2566","557990","90","990","14","346","412","778","961"
"01/11/25667439515195163335913019349","01/11/2566","743951","51","951","63","335","913","019","349"
"16/10/25669314464644644167398272970","16/10/2566","931446","46","446","44","167","398","272","970"
"01/10/25667272020220266324355426615","01/10/2566","727202","02","202","66","324","355","426","615"
"16/09/25663208121281246037699057344","16/09/2566","320812","12","812","46","037","699","057","344"
"01/09/25669154787847891521596291692","01/09/2566","915478","78","478","91","521","596","291","692"
"16/08/25664717828278267431739737742","16/08/2566","471782","82","782","67","431","739","737","742"
"31/07/25662604535345311268708387601","31/07/2566","260453","53","453","11","268","708","387","601"
"16/07/25661695303053062261384066780","16/07/2566","169530","30","530","62","261","384","066","780"
"01/07/25669226050560516281867491947","01/07/2566","922605","05","605","16","281","867","491","947"
"16/06/25662648727287230519628202874","16/06/2566","264872","72","872","30","519","628","202","874"
"01/06/25661252727227209000681386971","01/06/2566","125272","72","272","09","000","681","386","971"
"16/05/25661329030390399678739693731","16/05/2566","132903","03","903","99","678","739","693","731"
"02/05/25668430191901965500780187269","02/05/2566","843019","19","019","65","500","780","187","269"
"16/04/25669849060690671670678551797","16/04/2566","984906","06","906","71","670","678","551","797"
"01/04/25660879070790799111914290698","01/04/2566","087907","07","907","99","111","914","290","698"
"16/03/25660258737387373420800355544","16/03/2566","025873","73","873","73","420","800","355","544"
"01/03/25664176525265255577919748984","01/03/2566","417652","52","652","55","577","919","748","984"
"16/02/25665904171741780195664377523","16/02/2566","590417","17","417","80","195","664","377","523"
"01/02/25662974111141192181789101664","01/02/2566","297411","11","411","92","181","789","101","664"
"17/01/25668125191951947389443564849","17/01/2566","812519","19","519","47","389","443","564","849"
"30/12/25651571969619658007522250425","30/12/2565","157196","96","196","58","007","522","250","425"
"16/12/25658450939309314411912593855","16/12/2565","845093","93","093","14","411","912","593","855"
"01/12/25653758050580508170786409421","01/12/2565","375805","05","805","08","170","786","409","421"
"16/11/25651217898978964532722157973","16/11/2565","121789","89","789","64","532","722","157","973"
"01/11/25659131060610670722839343922","01/11/2565","913106","06","106","70","722","839","343","922"
